256 32896
15 9 -0.017142857
15 10 0.015
15 11 -0.006
15 12 -0.0375
15 13 0.02
15 14 -0.03
15 15 8.5
16 0 0
16 1 -0.0075
16 2 0.006
16 3 -0.0021428571
16 4 -0.011538462
16 5 0.005
16 6 -0.0054545455
16 7 0.015
16 8 0.0033333333
16 9 -0.01125
16 10 0.017142857
16 11 0
16 12 -0.024
16 13 0.0225
16 14 -0.01
16 15 -0.075
16 16 8.75
17 0 0.0016666667
17 1 -0.0052941176
17 2 0.0075
17 3 0
17 4 -0.0085714286
17 5 0.0069230769
17 6 -0.0025
17 7 -0.013636364
17 8 0.006
17 9 -0.0066666667
17 10 0.01875
17 11 0.0042857143
17 12 -0.015
17 13 0.024
17 14 0
17 15 -0.04
17 16 0.045
17 17 9
18 0 0.0031578947
18 1 -0.0033333333
18 2 0.0088235294
18 3 0.001875
18 4 -0.006
18 5 0.0085714286
18 6 0
18 7 -0.01
18 8 0.0081818182
18 9 -0.003
18 10 -0.016666667
18 11 0.0075
18 12 -0.0085714286
18 13 0.025
18 14 0.006
18 15 -0.0225
18 16 0.04
18 17 0
18 18 9.25
19 0 0.0045
19 1 -0.0015789474
19 2 -0.0083333333
19 3 0.0035294118
19 4 -0.00375
19 5 0.01
19 6 0.0021428571
19 7 -0.0069230769
19 8 0.01
19 9 0
19 10 -0.012
19 11 0.01
19 12 -0.00375
19 13 -0.021428571
19 14 0.01
19 15 -0.012
19 16 0.0375
19 17 0.01
19 18 -0.045
19 19 9.5
20 0 0.0057142857
20 1 0
20 2 -0.0063157895
20 3 0.005
20 4 -0.0017647059
20 5 -0.009375
20 6 0.004
20 7 -0.0042857143
20 8 0.011538462
20 9 0.0025
20 10 -0.0081818182
20 11 0.012
20 12 0
20 13 -0.015
20 14 0.012857143
20 15 -0.005
20 16 -0.03
20 17 0.015
20 18 -0.02
20 19 0.075
20 20 9.75
21 0 0.0068181818
21 1 0.0014285714
21 2 -0.0045
21 3 0.0063157895
21 4 0
21 5 -0.0070588235
21 6 0.005625
21 7 -0.002
21 8 -0.010714286
21 9 0.0046153846
21 10 -0.005
21 11 0.013636364
21 12 0.003
21 13 -0.01
21 14 0.015
21 15 0
21 16 -0.02
21 17 0.018
21 18 -0.0075
21 19 -0.05
21 20 0.03
21 21 10
22 0 -0.0065217391
22 1 0.0027272727
22 2 -0.0028571429
22 3 0.0075
22 4 0.0015789474
22 5 -0.005
22 6 0.0070588235
22 7 0
22 8 -0.008
22 9 0.0064285714
22 10 -0.0023076923
22 11 -0.0125
22 12 0.0054545455
22 13 -0.006
22 14 0.016666667
22 15 0.00375
22 16 -0.012857143
22 17 0.02
22 18 0
22 19 -0.03
22 20 0.03
22 21 -0.015
22 22 10.25
23 0 -0.005
23 1 0.0039130435
23 2 -0.0013636364
23 3 -0.0071428571
23 4 0.003
23 5 -0.0031578947
23 6 0.0083333333
23 7 0.0017647059
23 8 -0.005625
23 9 0.008
23 10 0
23 11 -0.0092307692
23 12 0.0075
23 13 -0.0027272727
23 14 -0.015
23 15 0.0066666667
23 16 -0.0075
23 17 0.021428571
23 18 0.005
23 19 -0.018
23 20 0.03
23 21 0
23 22 -0.06
23 23 10.5
24 0 -0.0036
24 1 0.005
24 2 0
24 3 -0.0054545455
24 4 0.0042857143
24 5 -0.0015
24 6 -0.0078947368
24 7 0.0033333333
24 8 -0.0035294118
24 9 0.009375
24 10 0.002
24 11 -0.0064285714
24 12 0.0092307692
24 13 0
24 14 -0.010909091
24 15 0.009
24 16 -0.0033333333
24 17 -0.01875
24 18 0.0085714286
24 19 -0.01
24 20 0.03
24 21 0.0075
24 22 -0.03
24 23 0.06
24 24 10.75
25 0 -0.0023076923
25 1 0.006
25 2 0.00125
25 3 -0.0039130435
25 4 0.0054545455
25 5 0
25 6 -0.006
25 7 0.0047368421
25 8 -0.0016666667
25 9 -0.0088235294
25 10 0.00375
25 11 -0.004
25 12 0.010714286
25 13 0.0023076923
25 14 -0.0075
25 15 0.010909091
25 16 0
25 17 -0.013333333
25 18 0.01125
25 19 -0.0042857143
25 20 -0.025
25 21 0.012
25 22 -0.015
25 23 0.05
25 24 0.015
25 25 11
26 0 -0.0011111111
26 1 -0.0057692308
26 2 0.0024
26 3 -0.0025
26 4 0.0065217391
26 5 0.0013636364
26 6 -0.0042857143
26 7 0.006
26 8 0
26 9 -0.0066666667
26 10 0.0052941176
26 11 -0.001875
26 12 -0.01
26 13 0.0042857143
26 14 -0.0046153846
26 15 0.0125
26 16 0.0027272727
26 17 -0.009
26 18 0.013333333
26 19 0
26 20 -0.017142857
26 21 0.015
26 22 -0.006
26 23 -0.0375
26 24 0.02
26 25 -0.03
26 26 8
27 0 0
27 1 -0.0044444444
27 2 0.0034615385
27 3 -0.0012
27 4 -0.00625
27 5 0.0026086957
27 6 -0.0027272727
27 7 0.0071428571
27 8 0.0015
27 9 -0.0047368421
27 10 0.0066666667
27 11 0
27 12 -0.0075
27 13 0.006
27 14 -0.0021428571
27 15 -0.011538462
27 16 0.005
27 17 -0.0054545455
27 18 0.015
27 19 0.0033333333
27 20 -0.01125
27 21 0.017142857
27 22 0
27 23 -0.024
27 24 0.0225
27 25 -0.01
27 26 -0.075
27 27 8.25
28 0 0.0010344828
28 1 -0.0032142857
28 2 0.0044444444
28 3 0
28 4 -0.0048
28 5 0.00375
28 6 -0.0013043478
28 7 -0.0068181818
28 8 0.0028571429
28 9 -0.003
28 10 0.0078947368
28 11 0.0016666667
28 12 -0.0052941176
28 13 0.0075
28 14 0
28 15 -0.0085714286
28 16 0.0069230769
28 17 -0.0025
28 18 -0.013636364
28 19 0.006
28 20 -0.0066666667
28 21 0.01875
28 22 0.0042857143
28 23 -0.015
28 24 0.024
28 25 0
28 26 -0.04
28 27 0.045
28 28 8.5
29 0 0.002
29 1 -0.0020689655
29 2 0.0053571429
29 3 0.0011111111
29 4 -0.0034615385
29 5 0.0048
29 6 0
29 7 -0.0052173913
29 8 0.0040909091
29 9 -0.0014285714
29 10 -0.0075
29 11 0.0031578947
29 12 -0.0033333333
29 13 0.0088235294
29 14 0.001875
29 15 -0.006
29 16 0.0085714286
29 17 0
29 18 -0.01
29 19 0.0081818182
29 20 -0.003
29 21 -0.016666667
29 22 0.0075
29 23 -0.0085714286
29 24 0.025
29 25 0.006
29 26 -0.0225
29 27 0.04
29 28 0
29 29 8.75
30 0 0.0029032258
30 1 -0.001
30 2 -0.0051724138
30 3 0.0021428571
30 4 -0.0022222222
30 5 0.0057692308
30 6 0.0012
30 7 -0.00375
30 8 0.0052173913
30 9 0
30 10 -0.0057142857
30 11 0.0045
30 12 -0.0015789474
30 13 -0.0083333333
30 14 0.0035294118
30 15 -0.00375
30 16 0.01
30 17 0.0021428571
30 18 -0.0069230769
30 19 0.01
30 20 0
30 21 -0.012
30 22 0.01
30 23 -0.00375
30 24 -0.021428571
30 25 0.01
30 26 -0.012
30 27 0.0375
30 28 0.01
30 29 -0.045
30 30 9
31 0 0.00375
31 1 0
31 2 -0.004
31 3 0.0031034483
31 4 -0.0010714286
31 5 -0.0055555556
31 6 0.0023076923
31 7 -0.0024
31 8 0.00625
31 9 0.0013043478
31 10 -0.0040909091
31 11 0.0057142857
31 12 0
31 13 -0.0063157895
31 14 0.005
31 15 -0.0017647059
31 16 -0.009375
31 17 0.004
31 18 -0.0042857143
31 19 0.011538462
31 20 0.0025
31 21 -0.0081818182
31 22 0.012
31 23 0
31 24 -0.015
31 25 0.012857143
31 26 -0.005
31 27 -0.03
31 28 0.015
31 29 -0.02
31 30 0.075
31 31 9.25
32 0 0.0045454545
32 1 0.0009375
32 2 -0.0029032258
32 3 0.004
32 4 0
32 5 -0.0042857143
32 6 0.0033333333
32 7 -0.0011538462
32 8 -0.006
32 9 0.0025
32 10 -0.0026086957
32 11 0.0068181818
32 12 0.0014285714
32 13 -0.0045
32 14 0.0063157895
32 15 0
32 16 -0.0070588235
32 17 0.005625
32 18 -0.002
32 19 -0.010714286
32 20 0.0046153846
32 21 -0.005
32 22 0.013636364
32 23 0.003
32 24 -0.01
32 25 0.015
32 26 0
32 27 -0.02
32 28 0.018
32 29 -0.0075
32 30 -0.05
32 31 0.03
32 32 9.5
33 0 -0.0044117647
33 1 0.0018181818
33 2 -0.001875
33 3 0.0048387097
33 4 0.001
33 5 -0.0031034483
33 6 0.0042857143
33 7 0
33 8 -0.0046153846
33 9 0.0036
33 10 -0.00125
33 11 -0.0065217391
33 12 0.0027272727
33 13 -0.0028571429
33 14 0.0075
33 15 0.0015789474
33 16 -0.005
33 17 0.0070588235
33 18 0
33 19 -0.008
33 20 0.0064285714
33 21 -0.0023076923
33 22 -0.0125
33 23 0.0054545455
33 24 -0.006
33 25 0.016666667
33 26 0.00375
33 27 -0.012857143
33 28 0.02
33 29 0
33 30 -0.03
33 31 0.03
33 32 -0.015
33 33 9.75
34 0 -0.0034285714
34 1 0.0026470588
34 2 -0.00090909091
34 3 -0.0046875
34 4 0.0019354839
34 5 -0.002
34 6 0.0051724138
34 7 0.0010714286
34 8 -0.0033333333
34 9 0.0046153846
34 10 0
34 11 -0.005
34 12 0.0039130435
34 13 -0.0013636364
34 14 -0.0071428571
34 15 0.003
34 16 -0.0031578947
34 17 0.0083333333
34 18 0.0017647059
34 19 -0.005625
34 20 0.008
34 21 0
34 22 -0.0092307692
34 23 0.0075
34 24 -0.0027272727
34 25 -0.015
34 26 0.0066666667
34 27 -0.0075
34 28 0.021428571
34 29 0.005
34 30 -0.018
34 31 0.03
34 32 0
34 33 -0.06
34 34 10
35 0 -0.0025
35 1 0.0034285714
35 2 0
35 3 -0.0036363636
35 4 0.0028125
35 5 -0.00096774194
35 6 -0.005
35 7 0.0020689655
35 8 -0.0021428571
35 9 0.0055555556
35 10 0.0011538462
35 11 -0.0036
35 12 0.005
35 13 0
35 14 -0.0054545455
35 15 0.0042857143
35 16 -0.0015
35 17 -0.0078947368
35 18 0.0033333333
35 19 -0.0035294118
35 20 0.009375
35 21 0.002
35 22 -0.0064285714
35 23 0.0092307692
35 24 0
35 25 -0.010909091
35 26 0.009
35 27 -0.0033333333
35 28 -0.01875
35 29 0.0085714286
35 30 -0.01
35 31 0.03
35 32 0.0075
35 33 -0.03
35 34 0.06
35 35 10.25
36 0 -0.0016216216
36 1 0.0041666667
36 2 0.00085714286
36 3 -0.0026470588
36 4 0.0036363636
36 5 0
36 6 -0.0038709677
36 7 0.003
36 8 -0.0010344828
36 9 -0.0053571429
36 10 0.0022222222
36 11 -0.0023076923
36 12 0.006
36 13 0.00125
36 14 -0.0039130435
36 15 0.0054545455
36 16 0
36 17 -0.006
36 18 0.0047368421
36 19 -0.0016666667
36 20 -0.0088235294
36 21 0.00375
36 22 -0.004
36 23 0.010714286
36 24 0.0023076923
36 25 -0.0075
36 26 0.010909091
36 27 0
36 28 -0.013333333
36 29 0.01125
36 30 -0.0042857143
36 31 -0.025
36 32 0.012
36 33 -0.015
36 34 0.05
36 35 0.015
36 36 10.5
37 0 -0.00078947368
37 1 -0.0040540541
37 2 0.0016666667
37 3 -0.0017142857
37 4 0.0044117647
37 5 0.00090909091
37 6 -0.0028125
37 7 0.0038709677
37 8 0
37 9 -0.004137931
37 10 0.0032142857
37 11 -0.0011111111
37 12 -0.0057692308
37 13 0.0024
37 14 -0.0025
37 15 0.0065217391
37 16 0.0013636364
37 17 -0.0042857143
37 18 0.006
37 19 0
37 20 -0.0066666667
37 21 0.0052941176
37 22 -0.001875
37 23 -0.01
37 24 0.0042857143
37 25 -0.0046153846
37 26 0.0125
37 27 0.0027272727
37 28 -0.009
37 29 0.013333333
37 30 0
37 31 -0.017142857
37 32 0.015
37 33 -0.006
37 34 -0.0375
37 35 0.02
37 36 -0.03
37 37 10.75
38 0 0
38 1 -0.0031578947
38 2 0.0024324324
38 3 -0.00083333333
38 4 -0.0042857143
38 5 0.0017647059
38 6 -0.0018181818
38 7 0.0046875
38 8 0.00096774194
38 9 -0.003
38 10 0.004137931
38 11 0
38 12 -0.0044444444
38 13 0.0034615385
38 14 -0.0012
38 15 -0.00625
38 16 0.0026086957
38 17 -0.0027272727
38 18 0.0071428571
38 19 0.0015
38 20 -0.0047368421
38 21 0.0066666667
38 22 0
38 23 -0.0075
38 24 0.006
38 25 -0.0021428571
38 26 -0.011538462
38 27 0.005
38 28 -0.0054545455
38 29 0.015
38 30 0.0033333333
38 31 -0.01125
38 32 0.017142857
38 33 0
38 34 -0.024
38 35 0.0225
38 36 -0.01
38 37 -0.075
38 38 11
39 0 0.00075
39 1 -0.0023076923
39 2 0.0031578947
39 3 0
39 4 -0.0033333333
39 5 0.0025714286
39 6 -0.00088235294
39 7 -0.0045454545
39 8 0.001875
39 9 -0.0019354839
39 10 0.005
39 11 0.0010344828
39 12 -0.0032142857
39 13 0.0044444444
39 14 0
39 15 -0.0048
39 16 0.00375
39 17 -0.0013043478
39 18 -0.0068181818
39 19 0.0028571429
39 20 -0.003
39 21 0.0078947368
39 22 0.0016666667
39 23 -0.0052941176
39 24 0.0075
39 25 0
39 26 -0.0085714286
39 27 0.0069230769
39 28 -0.0025
39 29 -0.013636364
39 30 0.006
39 31 -0.0066666667
39 32 0.01875
39 33 0.0042857143
39 34 -0.015
39 35 0.024
39 36 0
39 37 -0.04
39 38 0.045
39 39 8
40 0 0.0014634146
40 1 -0.0015
40 2 0.0038461538
40 3 0.00078947368
40 4 -0.0024324324
40 5 0.0033333333
40 6 0
40 7 -0.0035294118
40 8 0.0027272727
40 9 -0.0009375
40 10 -0.0048387097
40 11 0.002
40 12 -0.0020689655
40 13 0.0053571429
40 14 0.0011111111
40 15 -0.0034615385
40 16 0.0048
40 17 0
40 18 -0.0052173913
40 19 0.0040909091
40 20 -0.0014285714
40 21 -0.0075
40 22 0.0031578947
40 23 -0.0033333333
40 24 0.0088235294
40 25 0.001875
40 26 -0.006
40 27 0.0085714286
40 28 0
40 29 -0.01
40 30 0.0081818182
40 31 -0.003
40 32 -0.016666667
40 33 0.0075
40 34 -0.0085714286
40 35 0.025
40 36 0.006
40 37 -0.0225
40 38 0.04
40 39 0
40 40 8.25
41 0 0.0021428571
41 1 -0.00073170732
41 2 -0.00375
41 3 0.0015384615
41 4 -0.0015789474
41 5 0.0040540541
41 6 0.00083333333
41 7 -0.0025714286
41 8 0.0035294118
41 9 0
41 10 -0.00375
41 11 0.0029032258
41 12 -0.001
41 13 -0.0051724138
41 14 0.0021428571
41 15 -0.0022222222
41 16 0.0057692308
41 17 0.0012
41 18 -0.00375
41 19 0.0052173913
41 20 0
41 21 -0.0057142857
41 22 0.0045
41 23 -0.0015789474
41 24 -0.0083333333
41 25 0.0035294118
41 26 -0.00375
41 27 0.01
41 28 0.0021428571
41 29 -0.0069230769
41 30 0.01
41 31 0
41 32 -0.012
41 33 0.01
41 34 -0.00375
41 35 -0.021428571
41 36 0.01
41 37 -0.012
41 38 0.0375
41 39 0.01
41 40 -0.045
41 41 8.5
42 0 0.0027906977
42 1 0
42 2 -0.0029268293
42 3 0.00225
42 4 -0.00076923077
42 5 -0.0039473684
42 6 0.0016216216
42 7 -0.0016666667
42 8 0.0042857143
42 9 0.00088235294
42 10 -0.0027272727
42 11 0.00375
42 12 0
42 13 -0.004
42 14 0.0031034483
42 15 -0.0010714286
42 16 -0.0055555556
42 17 0.0023076923
42 18 -0.0024
42 19 0.00625
42 20 0.0013043478
42 21 -0.0040909091
42 22 0.0057142857
42 23 0
42 24 -0.0063157895
42 25 0.005
42 26 -0.0017647059
42 27 -0.009375
42 28 0.004
42 29 -0.0042857143
42 30 0.011538462
42 31 0.0025
42 32 -0.0081818182
42 33 0.012
42 34 0
42 35 -0.015
42 36 0.012857143
42 37 -0.005
42 38 -0.03
42 39 0.015
42 40 -0.02
42 41 0.075
42 42 8.75
43 0 0.0034090909
43 1 0.00069767442
43 2 -0.0021428571
43 3 0.0029268293
43 4 0
43 5 -0.0030769231
43 6 0.0023684211
43 7 -0.00081081081
43 8 -0.0041666667
43 9 0.0017142857
43 10 -0.0017647059
43 11 0.0045454545
43 12 0.0009375
43 13 -0.0029032258
43 14 0.004
43 15 0
43 16 -0.0042857143
43 17 0.0033333333
43 18 -0.0011538462
43 19 -0.006
43 20 0.0025
43 21 -0.0026086957
43 22 0.0068181818
43 23 0.0014285714
43 24 -0.0045
43 25 0.0063157895
43 26 0
43 27 -0.0070588235
43 28 0.005625
43 29 -0.002
43 30 -0.010714286
43 31 0.0046153846
43 32 -0.005
43 33 0.013636364
43 34 0.003
43 35 -0.01
43 36 0.015
43 37 0
43 38 -0.02
43 39 0.018
43 40 -0.0075
43 41 -0.05
43 42 0.03
43 43 9
44 0 -0.0033333333
44 1 0.0013636364
44 2 -0.0013953488
44 3 0.0035714286
44 4 0.00073170732
44 5 -0.00225
44 6 0.0030769231
44 7 0
44 8 -0.0032432432
44 9 0.0025
44 10 -0.00085714286
44 11 -0.0044117647
44 12 0.0018181818
44 13 -0.001875
44 14 0.0048387097
44 15 0.001
44 16 -0.0031034483
44 17 0.0042857143
44 18 0
44 19 -0.0046153846
44 20 0.0036
44 21 -0.00125
44 22 -0.0065217391
44 23 0.0027272727
44 24 -0.0028571429
44 25 0.0075
44 26 0.0015789474
44 27 -0.005
44 28 0.0070588235
44 29 0
44 30 -0.008
44 31 0.0064285714
44 32 -0.0023076923
44 33 -0.0125
44 34 0.0054545455
44 35 -0.006
44 36 0.016666667
44 37 0.00375
44 38 -0.012857143
44 39 0.02
44 40 0
44 41 -0.03
44 42 0.03
44 43 -0.015
44 44 9.25
45 0 -0.0026086957
45 1 0.002
45 2 -0.00068181818
45 3 -0.0034883721
45 4 0.0014285714
45 5 -0.0014634146
45 6 0.00375
45 7 0.00076923077
45 8 -0.0023684211
45 9 0.0032432432
45 10 0
45 11 -0.0034285714
45 12 0.0026470588
45 13 -0.00090909091
45 14 -0.0046875
45 15 0.0019354839
45 16 -0.002
45 17 0.0051724138
45 18 0.0010714286
45 19 -0.0033333333
45 20 0.0046153846
45 21 0
45 22 -0.005
45 23 0.0039130435
45 24 -0.0013636364
45 25 -0.0071428571
45 26 0.003
45 27 -0.0031578947
45 28 0.0083333333
45 29 0.0017647059
45 30 -0.005625
45 31 0.008
45 32 0
45 33 -0.0092307692
45 34 0.0075
45 35 -0.0027272727
45 36 -0.015
45 37 0.0066666667
45 38 -0.0075
45 39 0.021428571
45 40 0.005
45 41 -0.018
45 42 0.03
45 43 0
45 44 -0.06
45 45 9.5
46 0 -0.0019148936
46 1 0.0026086957
46 2 0
46 3 -0.0027272727
46 4 0.0020930233
46 5 -0.00071428571
46 6 -0.0036585366
46 7 0.0015
46 8 -0.0015384615
46 9 0.0039473684
46 10 0.00081081081
46 11 -0.0025
46 12 0.0034285714
46 13 0
46 14 -0.0036363636
46 15 0.0028125
46 16 -0.00096774194
46 17 -0.005
46 18 0.0020689655
46 19 -0.0021428571
46 20 0.0055555556
46 21 0.0011538462
46 22 -0.0036
46 23 0.005
46 24 0
46 25 -0.0054545455
46 26 0.0042857143
46 27 -0.0015
46 28 -0.0078947368
46 29 0.0033333333
46 30 -0.0035294118
46 31 0.009375
46 32 0.002
46 33 -0.0064285714
46 34 0.0092307692
46 35 0
46 36 -0.010909091
46 37 0.009
46 38 -0.0033333333
46 39 -0.01875
46 40 0.0085714286
46 41 -0.01
46 42 0.03
46 43 0.0075
46 44 -0.03
46 45 0.06
46 46 9.75
47 0 -0.00125
47 1 0.0031914894
47 2 0.00065217391
47 3 -0.002
47 4 0.0027272727
47 5 0
47 6 -0.0028571429
47 7 0.002195122
47 8 -0.00075
47 9 -0.0038461538
47 10 0.0015789474
47 11 -0.0016216216
47 12 0.0041666667
47 13 0.00085714286
47 14 -0.0026470588
47 15 0.0036363636
47 16 0
47 17 -0.0038709677
47 18 0.003
47 19 -0.0010344828
47 20 -0.0053571429
47 21 0.0022222222
47 22 -0.0023076923
47 23 0.006
47 24 0.00125
47 25 -0.0039130435
47 26 0.0054545455
47 27 0
47 28 -0.006
47 29 0.0047368421
47 30 -0.0016666667
47 31 -0.0088235294
47 32 0.00375
47 33 -0.004
47 34 0.010714286
47 35 0.0023076923
47 36 -0.0075
47 37 0.010909091
47 38 0
47 39 -0.013333333
47 40 0.01125
47 41 -0.0042857143
47 42 -0.025
47 43 0.012
47 44 -0.015
47 45 0.05
47 46 0.015
47 47 10
48 0 -0.0006122449
48 1 -0.003125
48 2 0.0012765957
48 3 -0.0013043478
48 4 0.0033333333
48 5 0.00068181818
48 6 -0.0020930233
48 7 0.0028571429
48 8 0
48 9 -0.003
48 10 0.0023076923
48 11 -0.00078947368
48 12 -0.0040540541
48 13 0.0016666667
48 14 -0.0017142857
48 15 0.0044117647
48 16 0.00090909091
48 17 -0.0028125
48 18 0.0038709677
48 19 0
48 20 -0.004137931
48 21 0.0032142857
48 22 -0.0011111111
48 23 -0.0057692308
48 24 0.0024
48 25 -0.0025
48 26 0.0065217391
48 27 0.0013636364
48 28 -0.0042857143
48 29 0.006
48 30 0
48 31 -0.0066666667
48 32 0.0052941176
48 33 -0.001875
48 34 -0.01
48 35 0.0042857143
48 36 -0.0046153846
48 37 0.0125
48 38 0.0027272727
48 39 -0.009
48 40 0.013333333
48 41 0
48 42 -0.017142857
48 43 0.015
48 44 -0.006
48 45 -0.0375
48 46 0.02
48 47 -0.03
48 48 10.25
49 0 0
49 1 -0.0024489796
49 2 0.001875
49 3 -0.00063829787
49 4 -0.0032608696
49 5 0.0013333333
49 6 -0.0013636364
49 7 0.0034883721
49 8 0.00071428571
49 9 -0.002195122
49 10 0.003
49 11 0
49 12 -0.0031578947
49 13 0.0024324324
49 14 -0.00083333333
49 15 -0.0042857143
49 16 0.0017647059
49 17 -0.0018181818
49 18 0.0046875
49 19 0.00096774194
49 20 -0.003
49 21 0.004137931
49 22 0
49 23 -0.0044444444
49 24 0.0034615385
49 25 -0.0012
49 26 -0.00625
49 27 0.0026086957
49 28 -0.0027272727
49 29 0.0071428571
49 30 0.0015
49 31 -0.0047368421
49 32 0.0066666667
49 33 0
49 34 -0.0075
49 35 0.006
49 36 -0.0021428571
49 37 -0.011538462
49 38 0.005
49 39 -0.0054545455
49 40 0.015
49 41 0.0033333333
49 42 -0.01125
49 43 0.017142857
49 44 0
49 45 -0.024
49 46 0.0225
49 47 -0.01
49 48 -0.075
49 49 10.5
50 0 0.00058823529
50 1 -0.0018
50 2 0.0024489796
50 3 0
50 4 -0.0025531915
50 5 0.0019565217
50 6 -0.00066666667
50 7 -0.0034090909
50 8 0.0013953488
50 9 -0.0014285714
50 10 0.0036585366
50 11 0.00075
50 12 -0.0023076923
50 13 0.0031578947
50 14 0
50 15 -0.0033333333
50 16 0.0025714286
50 17 -0.00088235294
50 18 -0.0045454545
50 19 0.001875
50 20 -0.0019354839
50 21 0.005
50 22 0.0010344828
50 23 -0.0032142857
50 24 0.0044444444
50 25 0
50 26 -0.0048
50 27 0.00375
50 28 -0.0013043478
50 29 -0.0068181818
50 30 0.0028571429
50 31 -0.003
50 32 0.0078947368
50 33 0.0016666667
50 34 -0.0052941176
50 35 0.0075
50 36 0
50 37 -0.0085714286
50 38 0.0069230769
50 39 -0.0025
50 40 -0.013636364
50 41 0.006
50 42 -0.0066666667
50 43 0.01875
50 44 0.0042857143
50 45 -0.015
50 46 0.024
50 47 0
50 48 -0.04
50 49 0.045
50 50 10.75
51 0 0.0011538462
51 1 -0.0011764706
51 2 0.003
51 3 0.0006122449
51 4 -0.001875
51 5 0.0025531915
51 6 0
51 7 -0.0026666667
51 8 0.0020454545
51 9 -0.00069767442
51 10 -0.0035714286
51 11 0.0014634146
51 12 -0.0015
51 13 0.0038461538
51 14 0.00078947368
51 15 -0.0024324324
51 16 0.0033333333
51 17 0
51 18 -0.0035294118
51 19 0.0027272727
51 20 -0.0009375
51 21 -0.0048387097
51 22 0.002
51 23 -0.0020689655
51 24 0.0053571429
51 25 0.0011111111
51 26 -0.0034615385
51 27 0.0048
51 28 0
51 29 -0.0052173913
51 30 0.0040909091
51 31 -0.0014285714
51 32 -0.0075
51 33 0.0031578947
51 34 -0.0033333333
51 35 0.0088235294
51 36 0.001875
51 37 -0.006
51 38 0.0085714286
51 39 0
51 40 -0.01
51 41 0.0081818182
51 42 -0.003
51 43 -0.016666667
51 44 0.0075
51 45 -0.0085714286
51 46 0.025
51 47 0.006
51 48 -0.0225
51 49 0.04
51 50 0
51 51 11
52 0 0.0016981132
52 1 -0.00057692308
52 2 -0.0029411765
52 3 0.0012
52 4 -0.0012244898
52 5 0.003125
52 6 0.00063829787
52 7 -0.0019565217
52 8 0.0026666667
52 9 0
52 10 -0.0027906977
52 11 0.0021428571
52 12 -0.00073170732
52 13 -0.00375
52 14 0.0015384615
52 15 -0.0015789474
52 16 0.0040540541
52 17 0.00083333333
52 18 -0.0025714286
52 19 0.0035294118
52 20 0
52 21 -0.00375
52 22 0.0029032258
52 23 -0.001
52 24 -0.0051724138
52 25 0.0021428571
52 26 -0.0022222222
52 27 0.0057692308
52 28 0.0012
52 29 -0.00375
52 30 0.0052173913
52 31 0
52 32 -0.0057142857
52 33 0.0045
52 34 -0.0015789474
52 35 -0.0083333333
52 36 0.0035294118
52 37 -0.00375
52 38 0.01
52 39 0.0021428571
52 40 -0.0069230769
52 41 0.01
52 42 0
52 43 -0.012
52 44 0.01
52 45 -0.00375
52 46 -0.021428571
52 47 0.01
52 48 -0.012
52 49 0.0375
52 50 0.01
52 51 -0.045
52 52 8
53 0 0.0022222222
53 1 0
53 2 -0.0023076923
